"EMM_ENTY_SRNO","EMM_MKT_SRNO","EMM_TRDNG_MTHD_SRNO","EMM_RCRD_SRNO","EMM_MKT_MAKING_TYPE_INDC","EMM_ELGBLT_FROM_DATE","EMM_ELGBLT_TO_DATE","EMM_MKT_MAKING_STATUS_INDC","EMM_CRTD_USER_ID","EMM_CRTD_DATE","EMM_UPDTD_USER_ID","EMM_UPDTD_DATE"
"100002","4","2","1","1","2001-7-25","9998-1-18","1","superuser","2007-11-9 19:18:09","mscwwy","2016-1-29 14:57:56"
"100005","4","2","1","1","2006-1-18","2009-1-15","1","superuser","2007-11-9 19:18:09","haiqinwu","2015-4-24 16:09:41"
"100007","4","2","1","2","2007-1-25","2007-12-3","1","superuser","2007-11-9 19:18:09","superuser","2007-12-17 14:24:19"
"100007","4","2","2","1","2007-12-4","9998-12-31","1","superuser","2007-12-17 14:24:19","superuser","2007-12-17 14:24:19"
"100009","4","2","1","1","2001-7-25","9998-12-31","1","superuser","2007-11-9 19:18:09","wangxiaoyun","2014-12-16 15:58:04"
"100010","4","2","1","1","2007-2-25","9998-12-31","1","superuser","2007-11-9 19:18:09","mscxch1","2015-10-19 15:19:39"
"100012","4","2","1","2","2007-1-22","2011-1-17","1","superuser","2007-11-9 19:18:09","shenlina","2011-1-26 16:58:36"
"100014","4","2","1","2","2006-11-16","2007-7-11","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:10"
"100014","4","2","2","1","2007-7-12","9998-12-31","1","superuser","2007-11-9 19:18:10","superuser","2007-11-9 19:18:10"
"100015","4","2","1","1","2004-7-22","2015-1-25","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100035","4","2","1","1","2004-7-22","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100036","4","2","1","2","2006-11-17","2010-5-29","1","superuser","2007-11-9 19:18:09","shenlina","2010-6-13 16:31:48"
"100066","4","2","1","1","2004-7-22","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
"100073","4","2","1","1","2001-7-25","9998-12-31","1","superuser","2007-11-9 19:18:09","superuser","2007-11-9 19:18:09"
